model_name,model_year,sale_price,mileage,car_age,yearly_maint,maintenance_status,assigned_tier
"C Class",2019,34499,2838,7,952,Minor,Standard
"C Class",2019,27699,5012,7,952,Minor,Standard
"CL Class",2016,17299,37993,10,2599,Major,Luxury
"GLC Class",2019,35099,5486,7,1428,Minor,Premium
"B Class",2018,16299,2300,8,686,Major,Economy
"C Class",2019,26249,10785,7,952,Minor,Standard
"E Class",2017,22789,7700,9,1666,Minor,Premium
"C Class",2013,12699,23790,13,1511,Minor,Standard
X-CLASS,2018,38995,7820,8,1542,Major,Premium
X-CLASS,2019,24945,500,7,1428,Minor,Premium
X-CLASS,2019,24945,500,7,1428,Minor,Premium
X-CLASS,2019,24945,500,7,1428,Minor,Premium
X-CLASS,2019,28945,500,7,1428,Minor,Premium
X-CLASS,2019,28945,500,7,1428,Minor,Premium
X-CLASS,2019,26995,500,7,1428,Minor,Premium
X-CLASS,2019,28945,500,7,1428,Minor,Premium
X-CLASS,2019,26995,500,7,1428,Minor,Premium
X-CLASS,2019,28945,500,7,1428,Minor,Premium
X-CLASS,2019,24945,500,7,1428,Minor,Premium
"B Class",2019,27299,8768,7,635,Minor,Economy
"GLA Class",2018,22299,6500,8,686,Major,Economy
"C Class",2019,23799,14507,7,952,Minor,Standard
"A Class",2019,23299,2078,7,635,Minor,Economy
"A Class",2019,23509,5260,7,635,Minor,Economy
"C Class",2019,31299,1000,7,952,Minor,Standard
"A Class",2019,24519,1000,7,635,Minor,Economy
"A Class",2019,24519,1000,7,635,Minor,Economy
"C Class",2019,36539,1000,7,952,Minor,Standard
"A Class",2019,24919,5000,7,635,Minor,Economy
"C Class",2015,16699,48000,11,1295,Minor,Standard
"GLA Class",2016,19849,10812,10,800,Major,Economy
"B Class",2019,25699,12090,7,635,Minor,Economy
"CLS Class",2015,18099,38792,11,1943,Minor,Premium
"C Class",2016,18349,22000,10,1199,Major,Standard
"GLA Class",2015,17749,34012,11,864,Minor,Economy
"B Class",2019,22399,13969,7,635,Minor,Economy
"E Class",2017,22149,13797,9,1666,Minor,Premium
"A Class",2019,21199,9869,7,635,Minor,Economy
"C Class",2019,27199,5926,7,952,Minor,Standard
"C Class",2019,29249,1768,7,952,Minor,Standard
"C Class",2018,17999,15998,8,1028,Major,Standard
"E Class",2017,20999,43232,9,1666,Minor,Premium
"A Class",2020,24889,1000,6,588,Major,Economy
"A Class",2020,24889,1000,6,588,Major,Economy
"A Class",2020,24889,1000,6,588,Major,Economy
"A Class",2020,24889,1000,6,588,Major,Economy
"C Class",2016,19999,17807,10,1199,Major,Standard
"E Class",2018,33688,1500,8,1542,Major,Premium
"A Class",2020,24889,1000,6,588,Major,Economy
"GLA Class",2014,16249,18086,12,933,Major,Economy
"GLC Class",2019,43299,9235,7,1428,Minor,Premium
"C Class",2017,24499,19169,9,1111,Minor,Standard
"GLC Class",2019,32500,3500,7,1428,Minor,Premium
"A Class",2019,20699,8936,7,635,Minor,Economy
"GLC Class",2017,22699,31995,9,1666,Minor,Premium
"E Class",2016,20349,14391,10,1799,Major,Premium
"A Class",2017,31989,29852,9,740,Minor,Economy
"GLC Class",2019,41399,3183,7,1428,Minor,Premium
"C Class",2019,33799,5669,7,952,Minor,Standard
"E Class",2019,24749,15333,7,1428,Minor,Premium
"C Class",2019,25899,11151,7,952,Minor,Standard
"GLA Class",2019,23099,15375,7,635,Minor,Economy
"A Class",2019,18849,2000,7,635,Minor,Economy
"C Class",2019,24599,9888,7,952,Minor,Standard
"SL CLASS",2019,29649,7950,7,2063,Minor,Luxury
"E Class",2019,37699,11588,7,1428,Minor,Premium
"C Class",2015,16999,32119,11,1295,Minor,Standard
"C Class",2019,24039,1066,7,952,Minor,Standard
"C Class",2016,17799,47309,10,1199,Major,Standard
"C Class",2017,22999,26935,9,1111,Minor,Standard
"E Class",2016,19799,5548,10,1799,Major,Premium
"A Class",2019,22299,2750,7,635,Minor,Economy
"CL Class",2019,20599,4526,7,2063,Minor,Luxury
"A Class",2016,16799,16145,10,800,Major,Economy
"C Class",2016,21099,9272,10,1199,Major,Standard
"GLA Class",2018,21399,17999,8,686,Major,Economy
"A Class",2016,19999,14066,10,800,Major,Economy
"C Class",2019,28749,13741,7,952,Minor,Standard
"GLC Class",2019,30649,5909,7,1428,Minor,Premium
"A Class",2016,17749,42958,10,800,Major,Economy
"A Class",2017,16099,17930,9,740,Minor,Economy
"C Class",2017,20099,28408,9,1111,Minor,Standard
"A Class",2014,12499,46274,12,933,Major,Economy
"C Class",2016,15199,39721,10,1199,Major,Standard
"A Class",2016,13799,23000,10,800,Major,Economy
"C Class",2016,20299,35207,10,1199,Major,Standard
"E Class",2017,22499,19228,9,1666,Minor,Premium
"A Class",2018,17699,6580,8,686,Major,Economy
"GLC Class",2019,37189,1000,7,1428,Minor,Premium
"A Class",2019,24669,1000,7,635,Minor,Economy
"GLC Class",2020,39579,1000,6,1322,Major,Premium
"A Class",2020,25879,1227,6,588,Major,Economy
"C Class",2016,16499,35459,10,1199,Major,Standard
"GLC Class",2020,42359,1000,6,1322,Major,Premium
"C Class",2020,33469,1000,6,882,Major,Standard
"A Class",2020,25729,1000,6,588,Major,Economy
"A Class",2019,24199,2885,7,635,Minor,Economy
"B Class",2019,24999,2900,7,635,Minor,Economy
"C Class",2019,29399,283,7,952,Minor,Standard
"CL Class",2019,26299,5716,7,2063,Minor,Luxury
"CLS Class",2019,40099,1173,7,1428,Minor,Premium
"CL Class",2019,26799,3569,7,2063,Minor,Luxury
"A Class",2019,22899,4264,7,635,Minor,Economy
"C Class",2017,42299,18804,9,1111,Minor,Standard
"GLA Class",2019,25799,11910,7,635,Minor,Economy
"A Class",2017,16599,13848,9,740,Minor,Economy
"E Class",2019,32949,9051,7,1428,Minor,Premium
"A Class",2016,16099,30703,10,800,Major,Economy
"C Class",2019,29649,9809,7,952,Minor,Standard
"A Class",2019,20399,7370,7,635,Minor,Economy
"A Class",2016,16549,31035,10,800,Major,Economy
"C Class",2017,21449,35782,9,1111,Minor,Standard
"B Class",2019,23899,2856,7,635,Minor,Economy
"A Class",2019,20599,10088,7,635,Minor,Economy
"E Class",2019,24749,14207,7,1428,Minor,Premium
"E Class",2019,24749,14186,7,1428,Minor,Premium
"CL Class",2019,26449,9859,7,2063,Minor,Luxury
"E Class",2019,24799,14143,7,1428,Minor,Premium
"E Class",2019,34999,14461,7,1428,Minor,Premium
"A Class",2019,19899,11527,7,635,Minor,Economy
"GLA Class",2017,21299,2731,9,740,Minor,Economy
"A Class",2019,24299,2106,7,635,Minor,Economy
"GLC Class",2019,62499,7689,7,1428,Minor,Premium
"CL Class",2019,26099,5176,7,2063,Minor,Luxury
"A Class",2019,24399,2113,7,635,Minor,Economy
"E Class",2017,21999,18406,9,1666,Minor,Premium
"C Class",2019,25389,1839,7,952,Minor,Standard
"SL CLASS",2019,47789,2000,7,2063,Minor,Luxury
"A Class",2018,20199,11331,8,686,Major,Economy
"C Class",2016,19499,26000,10,1199,Major,Standard
"A Class",2019,20199,3653,7,635,Minor,Economy
"GLE Class",2017,28149,40897,9,1666,Minor,Premium
"C Class",2019,29749,8559,7,952,Minor,Standard
"A Class",2019,19649,9218,7,635,Minor,Economy
"E Class",2019,28449,12778,7,1428,Minor,Premium
"CL Class",2019,26049,14067,7,2063,Minor,Luxury
"C Class",2019,25749,13807,7,952,Minor,Standard
"B Class",2017,13449,18683,9,740,Minor,Economy
"C Class",2019,38699,3668,7,952,Minor,Standard
"E Class",2019,41989,7604,7,1428,Minor,Premium
"E Class",2018,31299,6500,8,1542,Major,Premium
"E Class",2017,22549,11900,9,1666,Minor,Premium
"C Class",2019,29299,2758,7,952,Minor,Standard
"C Class",2019,40649,11300,7,952,Minor,Standard
"CL Class",2016,17349,31808,10,2599,Major,Luxury
"C Class",2015,16199,21539,11,1295,Minor,Standard
"C Class",2019,40749,7749,7,952,Minor,Standard
"GLC Class",2019,45399,1788,7,1428,Minor,Premium
"A Class",2019,21099,5475,7,635,Minor,Economy
"E Class",2017,19499,28180,9,1666,Minor,Premium
"B Class",2019,22299,12410,7,635,Minor,Economy
"GLA Class",2016,17799,23500,10,800,Major,Economy
"B Class",2016,13999,40500,10,800,Major,Economy
"C Class",2019,24299,9063,7,952,Minor,Standard
"E Class",2018,23649,14676,8,1542,Major,Premium
"C Class",2019,23499,15242,7,952,Minor,Standard
"S Class",2019,47749,11168,7,2063,Minor,Luxury
"C Class",2019,29649,2874,7,952,Minor,Standard
"B Class",2019,27999,2475,7,635,Minor,Economy
"C Class",2019,20999,13731,7,952,Minor,Standard
"B Class",2019,22699,8746,7,635,Minor,Economy
"C Class",2019,24049,12880,7,952,Minor,Standard
"C Class",2019,25799,7144,7,952,Minor,Standard
"C Class",2019,25299,10061,7,952,Minor,Standard
"A Class",2019,21199,4784,7,635,Minor,Economy
"C Class",2019,19849,14009,7,952,Minor,Standard
"C Class",2019,19849,13938,7,952,Minor,Standard
"E Class",2019,25149,10807,7,1428,Minor,Premium
"GLA Class",2018,24099,2900,8,686,Major,Economy
"C Class",2019,33599,1000,7,952,Minor,Standard
"S Class",2019,54899,695,7,2063,Minor,Luxury
"C Class",2019,34039,1000,7,952,Minor,Standard
"C Class",2019,33789,1000,7,952,Minor,Standard
"C Class",2016,19599,68770,10,1199,Major,Standard
"A Class",2017,17049,15001,9,740,Minor,Economy
"SL CLASS",2019,31999,192,7,2063,Minor,Luxury
"C Class",2019,25699,14936,7,952,Minor,Standard
"C Class",2019,25699,15067,7,952,Minor,Standard
"E Class",2018,22499,15961,8,1542,Major,Premium
"GLC Class",2019,44499,10000,7,1428,Minor,Premium
"C Class",2017,14999,35600,9,1111,Minor,Standard
"C Class",2019,29999,6266,7,952,Minor,Standard
"C Class",2016,14499,42500,10,1199,Major,Standard
"GLA Class",2019,22199,12117,7,635,Minor,Economy
SLK,2014,11699,30769,12,1399,Major,Standard
"GLA Class",2015,16199,15546,11,864,Minor,Economy
"GLA Class",2016,14799,47965,10,800,Major,Economy
"GLC Class",2018,26399,13900,8,1542,Major,Premium
"E Class",2017,23899,25479,9,1666,Minor,Premium
"E Class",2017,21099,38488,9,1666,Minor,Premium
"C Class",2017,34849,5376,9,1111,Minor,Standard
