model_name,model_year,sale_price,mileage,car_age,yearly_maint,maintenance_status,assigned_tier
SLK,2005,5200,63000,21,1762,Minor,Standard
"S Class",2017,34948,27000,9,2406,Minor,Luxury
"SL CLASS",2016,49948,6200,10,2599,Major,Luxury
"G Class",2016,61948,16000,10,2599,Major,Luxury
"G Class",2016,73948,4000,10,2599,Major,Luxury
"SL CLASS",2011,149948,3000,15,3818,Minor,Luxury
"GLE Class",2018,30948,16000,8,1542,Major,Premium
"S Class",2012,10948,107000,14,3536,Major,Luxury
"G Class",2019,139948,12000,7,2063,Minor,Luxury
"GLA Class",2017,19750,15258,9,740,Minor,Economy
"A Class",2020,32980,606,6,588,Major,Economy
"A Class",2020,26980,1000,6,588,Major,Economy
"B Class",2019,23750,278,7,635,Minor,Economy
"GLC Class",2019,67980,5500,7,1428,Minor,Premium
"GLA Class",2016,18980,41713,10,800,Major,Economy
"B Class",2017,15890,24841,9,740,Minor,Economy
"C Class",2017,19890,30281,9,1111,Minor,Standard
"GLE Class",2019,56800,2483,7,1428,Minor,Premium
"B Class",2017,17513,14128,9,740,Minor,Economy
"C Class",2014,15701,20498,12,1399,Major,Standard
"C Class",2019,26601,9949,7,952,Minor,Standard
"C Class",2016,17672,31656,10,1199,Major,Standard
"E Class",2015,20769,21874,11,1943,Minor,Premium
"E Class",2017,22270,13398,9,1666,Minor,Premium
"GL Class",2015,34129,13581,11,2807,Minor,Luxury
"SL CLASS",2017,20601,16730,9,2406,Minor,Luxury
"CLS Class",2016,25077,13887,10,1799,Major,Premium
"SL CLASS",2017,21609,2780,9,2406,Minor,Luxury
"SL CLASS",2018,22914,8725,8,2228,Major,Luxury
"C Class",2016,19328,25042,10,1199,Major,Standard
"C Class",2019,29546,7990,7,952,Minor,Standard
"GLC Class",2019,35611,26153,7,1428,Minor,Premium
"C Class",2017,15311,31371,9,1111,Minor,Standard
"A Class",2020,28128,2563,6,588,Major,Economy
"A Class",2019,23184,1173,7,635,Minor,Economy
"A Class",2017,15787,24092,9,740,Minor,Economy
"GLC Class",2018,30682,14517,8,1542,Major,Premium
"A Class",2019,25701,11000,7,635,Minor,Economy
"C Class",2020,31790,3500,6,882,Major,Standard
"A Class",2019,25190,2471,7,635,Minor,Economy
SLK,2014,15990,43955,12,1399,Major,Standard
"CLS Class",2018,34990,18837,8,1542,Major,Premium
"GLC Class",2019,30799,9886,7,1428,Minor,Premium
"C Class",2017,19743,16509,9,1111,Minor,Standard
"C Class",2019,24055,7475,7,952,Minor,Standard
"B Class",2019,20945,13661,7,635,Minor,Economy
"C Class",2019,28524,8263,7,952,Minor,Standard
"E Class",2019,24541,10279,7,1428,Minor,Premium
"E Class",2017,20880,37000,9,1666,Minor,Premium
"A Class",2006,2880,66000,20,1175,Major,Economy
"CLC Class",2010,5880,40000,16,1762,Major,Standard
"C Class",2015,14940,43000,11,1295,Minor,Standard
SLK,2004,4890,46000,22,1762,Major,Standard
"SL CLASS",2010,16990,18000,16,3818,Major,Luxury
"B Class",2010,3890,71000,16,1175,Major,Economy
"B Class",2011,3990,90000,15,1175,Minor,Economy
"A Class",2011,3440,74000,15,1175,Minor,Economy
"GLE Class",2020,48995,3000,6,1322,Major,Premium
SLK,2008,5980,60000,18,1762,Major,Standard
"E Class",2015,13990,52000,11,1943,Minor,Premium
"CLA Class",2016,14480,84000,10,800,Major,Economy
"E Class",2010,6980,79000,16,2643,Major,Premium
"C Class",2014,11290,48000,12,1399,Major,Standard
"E Class",2011,5740,115000,15,2643,Minor,Premium
"V Class",2017,31980,16000,9,1666,Minor,Premium
"CLA Class",2014,15990,45000,12,933,Major,Economy
"B Class",2015,11240,47000,11,864,Minor,Economy
"GLC Class",2019,37980,6200,7,1428,Minor,Premium
"C Class",2019,28980,5500,7,952,Minor,Standard
"C Class",2019,23280,3908,7,952,Minor,Standard
"C Class",2019,32980,2000,7,952,Minor,Standard
"M Class",2008,5990,110000,18,2643,Major,Premium
"A Class",2013,7300,54000,13,1007,Minor,Economy
"S Class",2014,41980,26000,12,3031,Major,Luxury
"GL Class",2007,7340,104000,19,3818,Minor,Luxury
"GL Class",2007,8490,74000,19,3818,Minor,Luxury
"C Class",2009,4480,130000,17,1762,Minor,Standard
"S Class",2016,24880,75000,10,2599,Major,Luxury
"E Class",2015,17480,22000,11,1943,Minor,Premium
"E Class",2007,4880,58000,19,2643,Minor,Premium
"S Class",2015,38980,11000,11,2807,Minor,Luxury
SLK,2010,7495,59147,16,1762,Major,Standard
"C Class",2007,3790,99000,19,1762,Minor,Standard
"C Class",2007,3890,87000,19,1762,Minor,Standard
"CL Class",2015,17863,14360,11,2807,Minor,Luxury
"GLA Class",2015,17624,29505,11,864,Minor,Economy
"A Class",2018,18220,10361,8,686,Major,Economy
"SL CLASS",2017,18775,19522,9,2406,Minor,Luxury
"SL CLASS",2017,20745,23103,9,2406,Minor,Luxury
"A Class",2019,18118,15561,7,635,Minor,Economy
"A Class",2019,17990,14783,7,635,Minor,Economy
"SL CLASS",2019,28491,9477,7,2063,Minor,Luxury
"A Class",2018,18888,11565,8,686,Major,Economy
"A Class",2019,19840,6781,7,635,Minor,Economy
"A Class",2019,18241,15722,7,635,Minor,Economy
"A Class",2019,18141,15689,7,635,Minor,Economy
"GLS Class",2016,37385,21169,10,2599,Major,Luxury
"CLS Class",2017,26166,9165,9,1666,Minor,Premium
"B Class",2019,24616,3710,7,635,Minor,Economy
"C Class",2019,30403,3000,7,952,Minor,Standard
"SL CLASS",2019,30670,3000,7,2063,Minor,Luxury
"C Class",2020,30960,3000,6,882,Major,Standard
"A Class",2020,24107,3500,6,588,Major,Economy
"C Class",2019,24510,11368,7,952,Minor,Standard
"GL Class",2016,35371,14253,10,2599,Major,Luxury
"GLC Class",2019,33729,11301,7,1428,Minor,Premium
"C Class",2019,29623,7500,7,952,Minor,Standard
"C Class",2019,27964,5617,7,952,Minor,Standard
"B Class",2019,21394,9573,7,635,Minor,Economy
"B Class",2019,20882,14257,7,635,Minor,Economy
"CLS Class",2019,37352,3000,7,1428,Minor,Premium
"C Class",2018,18051,11319,8,1028,Major,Standard
"C Class",2019,24433,2326,7,952,Minor,Standard
"GLC Class",2019,37116,6250,7,1428,Minor,Premium
"GLA Class",2019,22375,13850,7,635,Minor,Economy
"C Class",2019,24915,13101,7,952,Minor,Standard
"E Class",2019,29991,10356,7,1428,Minor,Premium
"A Class",2019,22596,5382,7,635,Minor,Economy
"A Class",2019,22730,1521,7,635,Minor,Economy
"C Class",2019,26154,14696,7,952,Minor,Standard
"E Class",2020,35438,3500,6,1322,Major,Premium
"C Class",2019,27980,3168,7,952,Minor,Standard
"C Class",2019,28250,3477,7,952,Minor,Standard
"B Class",2019,23280,6441,7,635,Minor,Economy
"C Class",2017,15700,19023,9,1111,Minor,Standard
"CLA Class",2017,18790,8423,9,740,Minor,Economy
"GLE Class",2020,54995,6700,6,1322,Major,Premium
"A Class",2018,20450,6511,8,686,Major,Economy
"A Class",2014,11980,66690,12,933,Major,Economy
"C Class",2017,19890,26878,9,1111,Minor,Standard
"GLA Class",2018,20350,24556,8,686,Major,Economy
"E Class",2017,22890,34934,9,1666,Minor,Premium
"A Class",2017,18890,7875,9,740,Minor,Economy
"B Class",2017,15480,23290,9,740,Minor,Economy
"E Class",2016,16480,48889,10,1799,Major,Premium
"CLA Class",2017,20480,31949,9,740,Minor,Economy
"GLC Class",2016,25780,34358,10,1799,Major,Premium
"C Class",2017,21000,25000,9,1111,Minor,Standard
"GLA Class",2016,17800,34092,10,800,Major,Economy
"B Class",2019,20700,14931,7,635,Minor,Economy
"C Class",2016,17890,44184,10,1199,Major,Standard
"C Class",2009,4200,96000,17,1762,Minor,Standard
"E Class",2017,20998,21352,9,1666,Minor,Premium
"GLA Class",2015,18998,33114,11,864,Minor,Economy
"C Class",2017,24998,28234,9,1111,Minor,Standard
"CL Class",2015,17498,15557,11,2807,Minor,Luxury
"C Class",2016,19498,22803,10,1199,Major,Standard
"C Class",2018,23498,17093,8,1028,Major,Standard
"E Class",2014,15998,43125,12,2098,Major,Premium
"S Class",2016,28498,30135,10,2599,Major,Luxury
"CL Class",2015,16498,25920,11,2807,Minor,Luxury
"GLC Class",2020,37998,5538,6,1322,Major,Premium
"C Class",2014,16995,37600,12,1399,Major,Standard
"A Class",2016,27995,13000,10,800,Major,Economy
"S Class",2015,29995,17700,11,2807,Minor,Luxury
"GLC Class",2017,26995,37950,9,1666,Minor,Premium
"C Class",2017,24995,14000,9,1111,Minor,Standard
"GLE Class",2016,29995,27700,10,1799,Major,Premium
"A Class",2019,18995,21400,7,635,Minor,Economy
"B Class",2015,11995,41500,11,864,Minor,Economy
"G Class",2015,52995,34400,11,2807,Minor,Luxury
"E Class",2017,23995,19300,9,1666,Minor,Premium
"E Class",2015,17698,27622,11,1943,Minor,Premium
"CLS Class",2014,15998,31815,12,2098,Major,Premium
"E Class",2016,20298,25273,10,1799,Major,Premium
"C Class",2014,12998,52712,12,1399,Major,Standard
"A Class",2013,11998,54060,13,1007,Minor,Economy
"C Class",2017,17998,59858,9,1111,Minor,Standard
"GLA Class",2016,16998,50543,10,800,Major,Economy
"S Class",2019,48998,375,7,2063,Minor,Luxury
"C Class",2019,28998,22,7,952,Minor,Standard
"E Class",2019,46998,3325,7,1428,Minor,Premium
"A Class",2017,17498,16244,9,740,Minor,Economy
"S Class",2016,26498,36121,10,2599,Major,Luxury
"B Class",2013,8998,46108,13,1007,Minor,Economy
"GLA Class",2016,19498,27846,10,800,Major,Economy
"E Class",2017,20498,20195,9,1666,Minor,Premium
"C Class",2018,22998,18739,8,1028,Major,Standard
"C Class",2016,12998,53453,10,1199,Major,Standard
"C Class",2016,22998,23090,10,1199,Major,Standard
"S Class",2015,27998,14158,11,2807,Minor,Luxury
"S Class",2015,26498,27343,11,2807,Minor,Luxury
"V Class",2017,27998,58590,9,1666,Minor,Premium
"E Class",2019,36998,5211,7,1428,Minor,Premium
"GLC Class",2017,26998,9172,9,1666,Minor,Premium
"E Class",2015,19498,26999,11,1943,Minor,Premium
"C Class",2019,25498,8150,7,952,Minor,Standard
"E Class",2019,28998,26100,7,1428,Minor,Premium
"C Class",2019,24998,9344,7,952,Minor,Standard
"GLA Class",2020,27998,3930,6,588,Major,Economy
"GLC Class",2019,35998,7540,7,1428,Minor,Premium
"GLC Class",2019,32998,12831,7,1428,Minor,Premium
"GLE Class",2016,24998,42913,10,1799,Major,Premium
"C Class",2017,21498,20981,9,1111,Minor,Standard
"E Class",2017,20998,22930,9,1666,Minor,Premium
"S Class",2016,25498,44072,10,2599,Major,Luxury
"B Class",2015,13498,20789,11,864,Minor,Economy
"A Class",2016,16998,29160,10,800,Major,Economy
"SL CLASS",2019,32998,2403,7,2063,Minor,Luxury
"B Class",2019,21498,4653,7,635,Minor,Economy
"E Class",2014,13998,33404,12,2098,Major,Premium
"C Class",2017,18998,23760,9,1111,Minor,Standard
"C Class",2016,17998,26100,10,1199,Major,Standard
"C Class",2019,28498,4285,7,952,Minor,Standard
"C Class",2016,18998,28388,10,1199,Major,Standard
"A Class",2019,19498,14899,7,635,Minor,Economy
"C Class",2017,20998,16902,9,1111,Minor,Standard
"B Class",2019,20998,10713,7,635,Minor,Economy
"M Class",2015,21498,43339,11,1943,Minor,Premium
"E Class",2017,19998,46230,9,1666,Minor,Premium
"SL CLASS",2017,19498,29114,9,2406,Minor,Luxury
"E Class",2016,20498,37915,10,1799,Major,Premium
"SL CLASS",2017,22498,11534,9,2406,Minor,Luxury
"SL CLASS",2017,20998,18739,9,2406,Minor,Luxury
"E Class",2017,20998,27671,9,1666,Minor,Premium
"A Class",2015,18998,23247,11,864,Minor,Economy
"C Class",2018,27498,9255,8,1028,Major,Standard
"C Class",2016,16998,26973,10,1199,Major,Standard
"E Class",2017,22998,16910,9,1666,Minor,Premium
"S Class",2015,24498,28191,11,2807,Minor,Luxury
"C Class",2018,27498,12491,8,1028,Major,Standard
"A Class",2015,16998,39587,11,864,Minor,Economy
"GLA Class",2015,17998,42942,11,864,Minor,Economy
"GLC Class",2016,23498,46259,10,1799,Major,Premium
"A Class",2017,18298,7919,9,740,Minor,Economy
"A Class",2019,22998,3770,7,635,Minor,Economy
"C Class",2014,26998,24175,12,1399,Major,Standard
"V Class",2018,19998,14941,8,1542,Major,Premium
"V Class",2018,19498,21525,8,1542,Major,Premium
"C Class",2014,15998,26216,12,1399,Major,Standard
"C Class",2013,9298,80485,13,1511,Minor,Standard
"CL Class",2014,17298,33274,12,3031,Major,Luxury
"C Class",2018,20489,16900,8,1028,Major,Standard
"M Class",2013,15990,51800,13,2266,Minor,Premium
"A Class",2013,9995,47000,13,1007,Minor,Economy
"GL Class",2014,24498,67833,12,3031,Major,Luxury
"V Class",2016,26490,32494,10,1799,Major,Premium
"A Class",2018,22990,5491,8,686,Major,Economy
"A Class",2018,19995,2348,8,686,Major,Economy
"GLA Class",2017,17850,18692,9,740,Minor,Economy
"A Class",2016,15000,30761,10,800,Major,Economy
"C Class",2017,13800,34015,9,1111,Minor,Standard
"V Class",2018,20498,22011,8,1542,Major,Premium
"C Class",2014,15498,36243,12,1399,Major,Standard
"A Class",2019,18995,3150,7,635,Minor,Economy
"C Class",2017,20995,33000,9,1111,Minor,Standard
"C Class",2018,31995,11300,8,1028,Major,Standard
"A Class",2017,16995,25800,9,740,Minor,Economy
"CL Class",2015,17995,41100,11,2807,Minor,Luxury
"GLC Class",2016,28995,31600,10,1799,Major,Premium
"V Class",2018,35995,7000,8,1542,Major,Premium
"C Class",2017,23995,32800,9,1111,Minor,Standard
"GLA Class",2015,16998,42129,11,864,Minor,Economy
"GLC Class",2016,21998,49986,10,1799,Major,Premium
"GLA Class",2017,30498,20085,9,740,Minor,Economy
"C Class",2019,27698,14999,7,952,Minor,Standard
"C Class",2016,27498,37941,10,1199,Major,Standard
"C Class",2019,32498,11301,7,952,Minor,Standard
"GLE Class",2019,54498,6279,7,1428,Minor,Premium
"GL Class",2016,34998,32726,10,2599,Major,Luxury
"GLC Class",2016,28998,16742,10,1799,Major,Premium
"C Class",2019,24498,12629,7,952,Minor,Standard
"SL CLASS",2017,20998,13526,9,2406,Minor,Luxury
"E Class",2015,19698,23578,11,1943,Minor,Premium
"A Class",2018,23498,5189,8,686,Major,Economy
"A Class",2019,21498,6324,7,635,Minor,Economy
"A Class",2019,21498,5685,7,635,Minor,Economy
"SL CLASS",2019,64998,313,7,2063,Minor,Luxury
"E Class",2015,19498,17167,11,1943,Minor,Premium
"C Class",2015,12298,68718,11,1295,Minor,Standard
"SL CLASS",2017,21998,4657,9,2406,Minor,Luxury
"GLE Class",2016,24998,30121,10,1799,Major,Premium
"GLC Class",2017,29998,23326,9,1666,Minor,Premium
"E Class",2016,15635,30132,10,1799,Major,Premium
"C Class",2018,20685,21929,8,1028,Major,Standard
"E Class",2017,19498,33037,9,1666,Minor,Premium
"GLS Class",2018,46998,9182,8,2228,Major,Luxury
"C Class",2016,20498,27968,10,1199,Major,Standard
"GLE Class",2017,30298,14786,9,1666,Minor,Premium
"E Class",2015,20298,28056,11,1943,Minor,Premium
"GLC Class",2017,37998,20418,9,1666,Minor,Premium
"GLE Class",2017,28998,31322,9,1666,Minor,Premium
"C Class",2014,15298,41416,12,1399,Major,Standard
"GLC Class",2016,22998,30162,10,1799,Major,Premium
"GLC Class",2018,31998,11605,8,1542,Major,Premium
"E Class",2019,36998,629,7,1428,Minor,Premium
"GLA Class",2016,15998,52029,10,800,Major,Economy
"GLA Class",2015,18498,22888,11,864,Minor,Economy
"GLC Class",2016,24998,30639,10,1799,Major,Premium
"GLC Class",2018,33998,7220,8,1542,Major,Premium
"C Class",2019,33998,3814,7,952,Minor,Standard
"C Class",2019,32998,17,7,952,Minor,Standard
"CLS Class",2016,21998,29306,10,1799,Major,Premium
"GLE Class",2016,28698,22707,10,1799,Major,Premium
"C Class",2018,19998,15383,8,1028,Major,Standard
"CLS Class",2019,44498,5428,7,1428,Minor,Premium
"C Class",2015,13998,24010,11,1295,Minor,Standard
"GLE Class",2017,30498,19605,9,1666,Minor,Premium
"C Class",2019,24498,15838,7,952,Minor,Standard
"SL CLASS",2016,18498,33502,10,2599,Major,Luxury
"A Class",2018,18998,12386,8,686,Major,Economy
"C Class",2016,16498,37080,10,1199,Major,Standard
"GLC Class",2016,23998,42809,10,1799,Major,Premium
"CL Class",2015,19498,20820,11,2807,Minor,Luxury
"C Class",2016,15498,73582,10,1199,Major,Standard
"E Class",2017,19498,47007,9,1666,Minor,Premium
"CLS Class",2019,39998,926,7,1428,Minor,Premium
"E Class",2019,38998,378,7,1428,Minor,Premium
"SL CLASS",2019,32998,17,7,2063,Minor,Luxury
"GLC Class",2019,34998,423,7,1428,Minor,Premium
"A Class",2019,20998,9651,7,635,Minor,Economy
"S Class",2015,27498,35236,11,2807,Minor,Luxury
"SL CLASS",2017,20298,20055,9,2406,Minor,Luxury
"A Class",2018,21998,15450,8,686,Major,Economy
"A Class",2019,21998,19324,7,635,Minor,Economy
"A Class",2016,21998,17171,10,800,Major,Economy
"E Class",2016,19498,33249,10,1799,Major,Premium
"E Class",2016,18998,23951,10,1799,Major,Premium
"E Class",2017,21998,16062,9,1666,Minor,Premium
"A Class",2017,15245,22969,9,740,Minor,Economy
"C Class",2014,10995,98000,12,1399,Major,Standard
"A Class",2013,9995,83000,13,1007,Minor,Economy
"E Class",2017,23995,16820,9,1666,Minor,Premium
"SL CLASS",2016,28650,9262,10,2599,Major,Luxury
"M Class",2015,21998,37963,11,1943,Minor,Premium
"C Class",2014,15698,39920,12,1399,Major,Standard
"V Class",2018,20498,25254,8,1542,Major,Premium
"E Class",2019,39998,2675,7,1428,Minor,Premium
"GLA Class",2015,18498,18106,11,864,Minor,Economy
"C Class",2016,18498,31891,10,1199,Major,Standard
"GLC Class",2015,24498,23487,11,1943,Minor,Premium
"V Class",2018,20498,20841,8,1542,Major,Premium
"V Class",2018,20498,22033,8,1542,Major,Premium
"C Class",2019,31998,2000,7,952,Minor,Standard
"C Class",2019,29998,28000,7,952,Minor,Standard
"C Class",2019,24998,22400,7,952,Minor,Standard
"S Class",2015,26498,34434,11,2807,Minor,Luxury
"C Class",2019,32998,2878,7,952,Minor,Standard
"C Class",2019,32998,4500,7,952,Minor,Standard
"C Class",2019,29998,836,7,952,Minor,Standard
"GLE Class",2016,30998,14149,10,1799,Major,Premium
"SL CLASS",2016,19998,27801,10,2599,Major,Luxury
"C Class",2017,23998,14462,9,1111,Minor,Standard
"E Class",2019,48998,2669,7,1428,Minor,Premium
"C Class",2019,32498,1887,7,952,Minor,Standard
"E Class",2017,19998,52570,9,1666,Minor,Premium
"GLE Class",2016,27998,24732,10,1799,Major,Premium
"SL CLASS",2016,18998,29302,10,2599,Major,Luxury
"GLE Class",2017,28498,30825,9,1666,Minor,Premium
"E Class",2015,17998,42577,11,1943,Minor,Premium
"E Class",2015,18498,40348,11,1943,Minor,Premium
"C Class",2014,15498,23772,12,1399,Major,Standard
"C Class",2017,18998,28808,9,1111,Minor,Standard
"E Class",2016,19998,29511,10,1799,Major,Premium
"GLA Class",2014,15698,43696,12,933,Major,Economy
"GLC Class",2016,25998,40220,10,1799,Major,Premium
"A Class",2016,15200,39057,10,800,Major,Economy
"M Class",2013,15200,61363,13,2266,Minor,Premium
"A Class",2016,15200,23286,10,800,Major,Economy
"M Class",2014,15998,71657,12,2098,Major,Premium
"C Class",2019,22498,10455,7,952,Minor,Standard
"GLA Class",2016,17998,39017,10,800,Major,Economy
"CL Class",2013,11998,33562,13,3274,Minor,Luxury
"A Class",2019,21498,4138,7,635,Minor,Economy
"C Class",2016,19298,27644,10,1199,Major,Standard
"GLE Class",2016,28998,34669,10,1799,Major,Premium
"B Class",2017,12498,29559,9,740,Minor,Economy
"V Class",2018,32998,18932,8,1542,Major,Premium
"C Class",2018,29498,6265,8,1028,Major,Standard
"C Class",2016,16998,21786,10,1199,Major,Standard
"S Class",2015,28998,16382,11,2807,Minor,Luxury
"E Class",2016,20298,23411,10,1799,Major,Premium
SLK,2013,10698,66282,13,1511,Minor,Standard
"S Class",2015,24998,29036,11,2807,Minor,Luxury
"A Class",2016,15498,63454,10,800,Major,Economy
"GLE Class",2015,25498,29078,11,1943,Minor,Premium
"E Class",2016,18698,31131,10,1799,Major,Premium
"V Class",2017,30998,32577,9,1666,Minor,Premium
"A Class",2016,12498,54544,10,800,Major,Economy
"S Class",2019,46998,1042,7,2063,Minor,Luxury
"C Class",2019,33998,1558,7,952,Minor,Standard
"C Class",2019,32998,2258,7,952,Minor,Standard
"C Class",2019,30498,4977,7,952,Minor,Standard
"CLS Class",2015,19298,35866,11,1943,Minor,Premium
"A Class",2018,17498,15316,8,686,Major,Economy
"GLA Class",2016,21498,21253,10,800,Major,Economy
"E Class",2016,19498,23791,10,1799,Major,Premium
"C Class",2017,18998,26866,9,1111,Minor,Standard
"A Class",2017,18498,15478,9,740,Minor,Economy
"E Class",2019,40998,1255,7,1428,Minor,Premium
"S Class",2019,49998,83,7,2063,Minor,Luxury
"S Class",2016,31998,14633,10,2599,Major,Luxury
"A Class",2019,23498,5800,7,635,Minor,Economy
"C Class",2017,18498,20618,9,1111,Minor,Standard
"S Class",2015,27998,17168,11,2807,Minor,Luxury
"C Class",2019,24998,15536,7,952,Minor,Standard
"C Class",2019,24998,16103,7,952,Minor,Standard
"C Class",2019,21998,14576,7,952,Minor,Standard
"C Class",2018,29498,6198,8,1028,Major,Standard
"E Class",2019,24498,15316,7,1428,Minor,Premium
"S Class",2015,28498,15293,11,2807,Minor,Luxury
"E Class",2016,20998,16843,10,1799,Major,Premium
"E Class",2016,19998,18718,10,1799,Major,Premium
"E Class",2016,20298,26707,10,1799,Major,Premium
"E Class",2016,19498,36107,10,1799,Major,Premium
"C Class",2016,19498,24756,10,1199,Major,Standard
"E Class",2017,20998,29816,9,1666,Minor,Premium
"E Class",2016,21498,29833,10,1799,Major,Premium
"E Class",2016,19698,42334,10,1799,Major,Premium
"GL Class",2015,31998,36281,11,2807,Minor,Luxury
"E Class",2015,19498,22877,11,1943,Minor,Premium
"GLE Class",2016,30998,19574,10,1799,Major,Premium
"CL Class",2014,15998,42514,12,3031,Major,Luxury
"C Class",2016,17998,36587,10,1199,Major,Standard
SLK,2015,14298,21624,11,1295,Minor,Standard
"A Class",2017,15498,47412,9,740,Minor,Economy
"GLC Class",2016,21500,23349,10,1799,Major,Premium
"C Class",2016,14698,19864,10,1199,Major,Standard
"C Class",2016,13998,22117,10,1199,Major,Standard
"C Class",2015,14698,43331,11,1295,Minor,Standard
"A Class",2019,18498,2810,7,635,Minor,Economy
"B Class",2014,9998,24510,12,933,Major,Economy
"GLE Class",2017,34998,16647,9,1666,Minor,Premium
"C Class",2014,10498,51929,12,1399,Major,Standard
"A Class",2016,14998,24569,10,800,Major,Economy
"GLA Class",2014,14998,64001,12,933,Major,Economy
"A Class",2018,19998,6340,8,686,Major,Economy
"C Class",2016,19698,25107,10,1199,Major,Standard
"A Class",2018,17498,15597,8,686,Major,Economy
"C Class",2017,22498,20491,9,1111,Minor,Standard
"C Class",2015,11998,52792,11,1295,Minor,Standard
"GLC Class",2018,32498,12517,8,1542,Major,Premium
"C Class",2016,16298,29201,10,1199,Major,Standard
"A Class",2013,11998,13680,13,1007,Minor,Economy
"GLC Class",2016,20998,37045,10,1799,Major,Premium
"E Class",2018,21498,25454,8,1542,Major,Premium
"GLC Class",2017,25498,17967,9,1666,Minor,Premium
"CL Class",2014,16995,37208,12,3031,Major,Luxury
"GLE Class",2017,28500,28297,9,1666,Minor,Premium
"A Class",2016,13900,16349,10,800,Major,Economy
"CL Class",2015,18498,18982,11,2807,Minor,Luxury
"GLE Class",2017,31498,9949,9,1666,Minor,Premium
"C Class",2016,15698,42062,10,1199,Major,Standard
"C Class",2015,16998,43883,11,1295,Minor,Standard
"GLA Class",2015,17498,30154,11,864,Minor,Economy
"C Class",2017,20998,42036,9,1111,Minor,Standard
"C Class",2016,20998,23429,10,1199,Major,Standard
"C Class",2017,16498,20764,9,1111,Minor,Standard
"B Class",2017,15998,21306,9,740,Minor,Economy
"C Class",2013,11998,31706,13,1511,Minor,Standard
"E Class",2018,32498,9252,8,1542,Major,Premium
"CL Class",2017,19295,39643,9,2406,Minor,Luxury
"E Class",2017,21950,26355,9,1666,Minor,Premium
"C Class",2019,24495,10000,7,952,Minor,Standard
"GLC Class",2016,24995,40343,10,1799,Major,Premium
"C Class",2016,18990,26413,10,1199,Major,Standard
"GLC Class",2018,27590,16776,8,1542,Major,Premium
"E Class",2013,9495,82312,13,2266,Minor,Premium
"GLA Class",2017,22750,9000,9,740,Minor,Economy
"GLA Class",2016,21595,21512,10,800,Major,Economy
"C Class",2015,12495,50374,11,1295,Minor,Standard
"V Class",2018,20498,23694,8,1542,Major,Premium
"V Class",2018,19498,24164,8,1542,Major,Premium
"C Class",2015,17498,42471,11,1295,Minor,Standard
"C Class",2016,16198,41974,10,1199,Major,Standard
"V Class",2018,20498,23128,8,1542,Major,Premium
"S Class",2016,30498,17624,10,2599,Major,Luxury
"C Class",2017,17998,16291,9,1111,Minor,Standard
"V Class",2018,19998,27222,8,1542,Major,Premium
"V Class",2016,17998,21981,10,1799,Major,Premium
"V Class",2018,20498,20138,8,1542,Major,Premium
"B Class",2017,13498,35881,9,740,Minor,Economy
"GLE Class",2017,29998,15626,9,1666,Minor,Premium
"GLC Class",2017,20998,40949,9,1666,Minor,Premium
"E Class",2017,21498,31750,9,1666,Minor,Premium
"GLA Class",2015,17498,25909,11,864,Minor,Economy
"A Class",2014,10498,63177,12,933,Major,Economy
"GLA Class",2014,20498,45231,12,933,Major,Economy
"C Class",2016,16998,43014,10,1199,Major,Standard
"E Class",2017,19698,25152,9,1666,Minor,Premium
"C Class",2017,25798,9676,9,1111,Minor,Standard
"C Class",2018,20498,7894,8,1028,Major,Standard
"C Class",2015,13498,38438,11,1295,Minor,Standard
"E Class",2015,17998,34464,11,1943,Minor,Premium
"GLA Class",2016,18998,19696,10,800,Major,Economy
"B Class",2019,21998,7214,7,635,Minor,Economy
"CLS Class",2019,40998,4001,7,1428,Minor,Premium
"CLS Class",2015,19698,44143,11,1943,Minor,Premium
"C Class",2019,23498,19204,7,952,Minor,Standard
"GLE Class",2017,26998,47120,9,1666,Minor,Premium
"GLC Class",2016,20998,36240,10,1799,Major,Premium
"C Class",2016,14498,21945,10,1199,Major,Standard
"E Class",2017,20998,21929,9,1666,Minor,Premium
"V Class",2018,19998,27222,8,1542,Major,Premium
"V Class",2016,17998,21981,10,1799,Major,Premium
"A Class",2014,13998,29670,12,933,Major,Economy
"C Class",2019,29498,2195,7,952,Minor,Standard
"GLC Class",2016,21998,27894,10,1799,Major,Premium
"A Class",2019,21998,11578,7,635,Minor,Economy
"GLE Class",2017,28998,18855,9,1666,Minor,Premium
"C Class",2015,12495,55000,11,1295,Minor,Standard
"E Class",2017,19498,54028,9,1666,Minor,Premium
"GLE Class",2017,31298,12122,9,1666,Minor,Premium
"CLS Class",2016,22998,25536,10,1799,Major,Premium
"A Class",2017,16798,24388,9,740,Minor,Economy
"A Class",2017,15498,35295,9,740,Minor,Economy
"CL Class",2015,15998,29901,11,2807,Minor,Luxury
"A Class",2014,10998,58500,12,933,Major,Economy
"V Class",2018,19998,26973,8,1542,Major,Premium
"A Class",2013,15498,27415,13,1007,Minor,Economy
"C Class",2016,16998,38830,10,1199,Major,Standard
"C Class",2015,16798,32409,11,1295,Minor,Standard
"A Class",2015,11498,32648,11,864,Minor,Economy
"CL Class",2013,11460,64000,13,3274,Minor,Luxury
"C Class",2016,13991,49494,10,1199,Major,Standard
"GLA Class",2018,20810,18462,8,686,Major,Economy
"GLA Class",2016,16130,36152,10,800,Major,Economy
